,provider,id,Full_Formula,formula,space_group,a_lattice_param,b_lattice_param,c_lattice_param,aplha_degree,beta_degree,gamma_degree,pbc,sits,volume,species_at_sites,is_stable,is_magnetic,formation_energy,energy_above_hull,band_gap
1334,mp,mp-16290.cif,Zn1 Ni3 C1,ZnNi3C,Pm-3m,3.766253,3.766253,3.766253,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Zn (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Ni (0.0, 1.883, 1.883) [0.0, 0.5, 0.5], PeriodicSite: Ni (1.883, 1.883, 0.0) [0.5, 0.5, 0.0], PeriodicSite: Ni (1.883, 0.0, 1.883) [0.5, 0.0, 0.5], PeriodicSite: C (1.883, 1.883, 1.883) [0.5, 0.5, 0.5]]",53.42302453099387,"[Element Zn, Element Ni, Element Ni, Element Ni, Element C]",False,False,-0.059459465499999455,0.04252874849999966,0.0
1335,mp,mp-975564.cif,Pu1 B1 O3,PuBO3,Pm-3m,3.562941,3.562941,3.562941,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Pu (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: B (1.781, 1.781, 1.781) [0.5, 0.5, 0.5], PeriodicSite: O (1.781, 1.781, 0.0) [0.5, 0.5, 0.0], PeriodicSite: O (1.781, 0.0, 1.781) [0.5, 0.0, 0.5], PeriodicSite: O (0.0, 1.781, 1.781) [0.0, 0.5, 0.5]]",45.229927574695196,"[Element Pu, Element B, Element O, Element O, Element O]",False,True,-2.359631319083333,0.7867055536666641,0.0
1336,mp,mp-20530.cif,Ce1 Cr1 O3,CeCrO3,Pm-3m,3.90655,3.90655,3.90655,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ce (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Cr (1.953, 1.953, 1.953) [0.5, 0.5, 0.5], PeriodicSite: O (0.0, 1.953, 1.953) [0.0, 0.5, 0.5], PeriodicSite: O (1.953, 0.0, 1.953) [0.5, 0.0, 0.5], PeriodicSite: O (1.953, 1.953, 0.0) [0.5, 0.5, 0.0]]",59.618378740261385,"[Element Ce, Element Cr, Element O, Element O, Element O]",False,True,-2.9719559342500004,0.1834006763999998,0.0
1337,mp,mp-975134.cif,K1 Rh1 O3,KRhO3,Pm-3m,3.991577,3.991577,3.991577,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: K (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Rh (1.996, 1.996, 1.996) [0.5, 0.5, 0.5], PeriodicSite: O (1.996, 1.996, 0.0) [0.5, 0.5, 0.0], PeriodicSite: O (1.996, 0.0, 1.996) [0.5, 0.0, 0.5], PeriodicSite: O (0.0, 1.996, 1.996) [0.0, 0.5, 0.5]]",63.59654676556202,"[Element K, Element Rh, Element O, Element O, Element O]",False,True,-1.1891898658500004,0.06112404400000315,0.0
1338,mp,mp-29056.cif,La3 In1 C1,La3InC,Pm-3m,5.24935926,5.24935926,5.24935926,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: La (2.625, 0.0, 2.625) [0.5, 0.0, 0.5], PeriodicSite: La (2.625, 2.625, 0.0) [0.5, 0.5, 0.0], PeriodicSite: La (0.0, 2.625, 2.625) [-0.0, 0.5, 0.5], PeriodicSite: In (0.0, 0.0, 0.0) [-0.0, 0.0, 0.0], PeriodicSite: C (2.625, 2.625, 2.625) [0.5, 0.5, 0.5]]",144.650150277114,"[Element La, Element La, Element La, Element In, Element C]",True,False,-0.3200725984999998,0.0,0.0
1339,mp,mp-974740.cif,Nd1 Bi1 O3,NdBiO3,Pm-3m,4.435676,4.435676,4.435676,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Nd (2.218, 2.218, 2.218) [0.5, 0.5, 0.5], PeriodicSite: Bi (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: O (0.0, 0.0, 2.218) [0.0, 0.0, 0.5], PeriodicSite: O (0.0, 2.218, 0.0) [0.0, 0.5, 0.0], PeriodicSite: O (2.218, 0.0, 0.0) [0.5, 0.0, 0.0]]",87.2729081436746,"[Element Nd, Element Bi, Element O, Element O, Element O]",False,False,-1.8960712607499992,0.8262384297500027,0.0
1340,mp,mp-977389.cif,Ce1 Cu1 O3,CeCuO3,Pm-3m,3.832895,3.832895,3.832895,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ce (1.916, 1.916, 1.916) [0.5, 0.5, 0.5], PeriodicSite: Cu (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: O (0.0, 0.0, 1.916) [0.0, 0.0, 0.5], PeriodicSite: O (0.0, 1.916, 0.0) [0.0, 0.5, 0.0], PeriodicSite: O (1.916, 0.0, 0.0) [0.5, 0.0, 0.0]]",56.30938271874032,"[Element Ce, Element Cu, Element O, Element O, Element O]",False,True,-2.3357207562500006,0.3992384580000037,0.0
1341,mp,mp-1227958.cif,Ba1 Ge1 Au3,BaGeAu3,I4mm,6.137866081939155,6.137866081939155,6.137866081939155,133.95467138238655,133.95467138238655,67.15881598442591,"(True, True, True)","[PeriodicSite: Ba (0.0, 0.0, 0.05536) [0.005413, 0.005413, 0.0], PeriodicSite: Ge (0.0, 0.0, 3.661) [0.3579, 0.3579, 0.0], PeriodicSite: Au (0.0, 2.4, 2.703) [0.7642, 0.2642, 0.5], PeriodicSite: Au (2.4, 0.0, 2.703) [0.2642, 0.7642, 0.5], PeriodicSite: Au (0.0, 0.0, 6.22) [0.6081, 0.6081, -0.0]]",117.86499185060907,"[Element Ba, Element Ge, Element Au, Element Au, Element Au]",True,False,-0.5119609609999998,0.0,0.0
1342,mp,mp-22087.cif,Ta1 Ru3 C1,TaRu3C,Pm-3m,4.055608,4.055608,4.055608,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ta (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Ru (0.0, 2.028, 2.028) [0.0, 0.5, 0.5], PeriodicSite: Ru (2.028, 2.028, 0.0) [0.5, 0.5, 0.0], PeriodicSite: Ru (2.028, 0.0, 2.028) [0.5, 0.0, 0.5], PeriodicSite: C (2.028, 2.028, 2.028) [0.5, 0.5, 0.5]]",66.70646294978734,"[Element Ta, Element Ru, Element Ru, Element Ru, Element C]",False,False,-0.07657221350000043,0.15355960599999818,0.0
1343,mp,mp-972296.cif,Zr1 Os1 O3,ZrOsO3,Pm-3m,3.926308,3.926308,3.926308,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Zr (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Os (1.963, 1.963, 1.963) [0.5, 0.5, 0.5], PeriodicSite: O (1.963, 1.963, 0.0) [0.5, 0.5, 0.0], PeriodicSite: O (1.963, 0.0, 1.963) [0.5, 0.0, 0.5], PeriodicSite: O (0.0, 1.963, 1.963) [0.0, 0.5, 0.5]]",60.52754994516142,"[Element Zr, Element Os, Element O, Element O, Element O]",False,False,-1.232324691250001,1.4596295990000012,0.0
